source_row_id,company_name,website,linkedin_url,location,primary_industry,company_size,company_type,solar_developer_flag,keyword_flag,utility_check,residential_mention,business_model_fit_score,community_solar_score,lmi_alignment_score,capital_need_score,stage_scale_score,geographic_score,strategic_alignment_score,ecosystem_signal_score,total_score,priority_tier,confidence_level,needs_review,priority_reason,evidence_notes,suggested_linkedin_angle,suggested_target_titles
588,"Suntrek Industries, Inc",suntreksolar.com,https://www.linkedin.com/company/suntrek-solar,"Irvine, CA",Renewables & Environment,11-50 employees,Privately Held,TRUE,TRUE,FALSE,TRUE,13,6,0,7,5,4,0,4,39,B,medium,True,developer signals present,"[biz] some developer language, commercial/DG signals | [comm] commercial DG developer (adjacent community relevance) | [cap] developer at scale implies financing needs | [scale] scale/repeat signals in description | [geo] high-opportunity state (CA) | [eco] media/recognition signals",Low priority — verify fit before outreach,VP of Development; CEO; Director of Business Development; CFO
99,ChargeNet Stations,chargenetstations.com,https://www.linkedin.com/company/chargenet-stations,"San Diego, California",Renewables & Environment,11-50 employees,Privately Held,TRUE,TRUE,FALSE,TRUE,13,6,6,4,2,2,5,0,38,B,medium,True,developer signals present,"[biz] some developer language, commercial/DG signals | [comm] commercial DG developer (adjacent community relevance) | [lmi] LMI/equity language (1 signal) | [cap] developer language implies some financing need | [scale] developer implies some repeatability | [geo] US location (San Diego, California) - moderate relevance | [strat] some mission language | [eco] no ecosystem signals found",Low priority — verify fit before outreach,VP of Development; CEO; Director of Business Development; CFO
259,Hunt Capital Partners,huntcapitalpartners.com,https://www.linkedin.com/company/hunt-capital-partners,"Encino, CA",Real Estate,51-200 employees,Partnership,TRUE,TRUE,FALSE,TRUE,15,0,6,4,3,4,6,0,38,B,medium,True,strong developer profile,"[biz] strong developer language | [lmi] LMI/equity language (1 signal) | [cap] developer language implies some financing need | [scale] developer implies some repeatability, smaller company (51-200) | [geo] high-opportunity state (CA) | [strat] community/LMI focus implies mission alignment | [eco] no ecosystem signals found",Developer-to-developer outreach; reference project pipeline and financing solutions,VP of Development; Director of Project Finance; CEO; CFO; Head of Capital Markets
288,Jordan Energy & Food Enterprises LLC,jordanenergy.org,https://www.linkedin.com/company/jordan-energy-&-food-enterprises-llc,"Troy, New York",Solar Electric Power Generation,11-50 employees,Privately Held,TRUE,TRUE,FALSE,TRUE,18,6,0,7,5,2,0,0,38,B,medium,True,strong developer profile,"[biz] developer industry, some developer language, commercial/DG signals | [comm] commercial DG developer (adjacent community relevance) | [cap] developer at scale implies financing needs | [scale] scale/repeat signals in description | [geo] US location (Troy, New York) - moderate relevance | [eco] no ecosystem signals found",Developer-to-developer outreach; reference project pipeline and financing solutions,VP of Development; Director of Project Finance; CEO; CFO; Head of Capital Markets
580,Sunrich Power,sunrichpowerjames.com,https://www.linkedin.com/company/sunrichpower,"Quincy, MA",Solar Electric Power Generation,2-10 employees,Self Owned,TRUE,TRUE,FALSE,TRUE,10,14,0,0,0,4,6,4,38,B,low,True,community solar developer; developer signals present,"[biz] developer industry, commercial/DG signals, self-employed/owned type | [comm] explicit community solar | [scale] very small scale penalty | [geo] high-opportunity state (MA) | [strat] community/LMI focus implies mission alignment | [eco] media/recognition signals",Reference community solar portfolio; discuss subscriber model or shared access programs,Director of Community Solar; VP of Development; CEO; Director of Programs
623,Tribal Solar Accelerator Fund,tribalsolar.org,https://www.linkedin.com/company/tribal-solar-accelerator-fund,"Denver, Colorado",Solar Electric Power Generation,2-10 employees,Non Profit,TRUE,TRUE,FALSE,TRUE,15,0,3,9,0,2,7,2,38,B,low,True,financing relevance; strong developer profile; mission alignment,"[biz] developer industry, some developer language | [lmi] mission/affordability language (no explicit LMI) | [cap] financing language mentioned | [scale] developer implies some repeatability, very small scale penalty | [geo] US location (Denver, Colorado) - moderate relevance | [strat] some mission language, nonprofit org type | [eco] named partnerships",Open with project finance or capital stack conversation; reference growth pipeline,VP of Development; Director of Project Finance; CEO; CFO; Head of Capital Markets
61,"Bliss Solar, LLC",blisssolar.com,https://www.linkedin.com/company/blisssolar-llc,"Great Neck, New York",Solar Electric Power Generation,2-10 employees,Privately Held,TRUE,TRUE,FALSE,TRUE,18,6,0,9,0,2,0,2,37,B,low,True,financing relevance; strong developer profile,"[biz] developer industry, some developer language, commercial/DG signals | [comm] commercial DG developer (adjacent community relevance) | [cap] financing language mentioned | [scale] developer implies some repeatability, very small scale penalty | [geo] US location (Great Neck, New York) - moderate relevance | [eco] named partnerships",Open with project finance or capital stack conversation; reference growth pipeline,VP of Development; Director of Project Finance; CEO; CFO; Head of Capital Markets
108,Clean Slate Solar,cleanslatesolar.com,https://www.linkedin.com/company/cleanslatesolar,"New York, NY",Solar Electric Power Generation,2-10 employees,Privately Held,TRUE,TRUE,FALSE,TRUE,13,14,0,0,0,4,6,0,37,B,low,True,community solar developer; developer signals present,"[biz] developer industry, commercial/DG signals | [comm] explicit community solar | [scale] very small scale penalty | [geo] high-opportunity state (NY) | [strat] community/LMI focus implies mission alignment | [eco] no ecosystem signals found",Reference community solar portfolio; discuss subscriber model or shared access programs,Director of Community Solar; VP of Development; CEO; Director of Programs
226,Green Roof Technology - Jörg Breuning,greenrooftechnology.com,https://www.linkedin.com/company/greenrooftechnology,Baltimore,Environmental Services,2-10 employees,Privately Held,TRUE,TRUE,FALSE,TRUE,5,14,0,7,3,2,6,0,37,B,medium,True,community solar developer,"[biz] some developer language, commercial/DG signals, roofing/HVAC in name+desc (strong penalty) | [comm] explicit community solar | [cap] developer at scale implies financing needs | [scale] scale/repeat signals in description, very small scale penalty | [geo] US location (Baltimore) - moderate relevance | [strat] community/LMI focus implies mission alignment | [eco] no ecosystem signals found",Reference community solar portfolio; discuss subscriber model or shared access programs,Director of Community Solar; VP of Development; CEO; Director of Programs
281,ITEX,itexgrp.com,https://www.linkedin.com/company/the-itex-group,"Houston, Texas",Real Estate,201-500 employees,Privately Held,TRUE,TRUE,FALSE,TRUE,15,0,6,4,4,2,6,0,37,B,medium,True,strong developer profile,"[biz] strong developer language | [lmi] LMI/equity language (1 signal) | [cap] developer language implies some financing need | [scale] developer implies some repeatability, mid company (201-500) | [geo] US location (Houston, Texas) - moderate relevance | [strat] community/LMI focus implies mission alignment | [eco] no ecosystem signals found",Developer-to-developer outreach; reference project pipeline and financing solutions,VP of Development; Director of Project Finance; CEO; CFO; Head of Capital Markets
